Date,T2PP_Revenue,T2PP_Trans,Reservations_Revenue,Reservations_Bookings,Hub_Revenue,Hub_Trans,Valet_Rev,Valet_Trans
6/1/2018,32362,1476,8582,105,138100,5385,12970,128
6/2/2018,19552.5,1385,6076,69,88728.5,4051,6555,61
6/3/2018,30502.5,1308,6725,85,148713,4908,15195,117
6/4/2018,28112.5,1373,8685,97,136095,4936,12575,107
6/5/2018,26083.01,1627,7971,108,114572,5523,12835,154
6/6/2018,31354,1515,10264,113,138235.5,5660,19170,215
6/7/2018,41862.02,1583,12913,164,169816,6201,20165,209
6/8/2018,44929.51,1730,9746,118,171831.5,6005,16440,145
6/9/2018,21658.25,1498,5411,59,93662,5293,4835,47
6/10/2018,32203,1555,7897,87,163246,5531,14640,113
6/11/2018,25014,1532,10668,138,127469.5,5185,9545,82
6/12/2018,26974,1790,9719,112,120857.5,5910,13245,160
6/13/2018,34985,1875,12509,145,150214,6403,16255,176
6/14/2018,42660.5,1895,10965,116,161233,6375,15725,175
6/15/2018,37296.5,1747,7661,87,149791,5831,14085,127
6/16/2018,26139.5,1766,8039,85,106648,5730,7175,66
6/17/2018,29967,1512,10404,114,144301,5073,13285,92
6/18/2018,26317.5,1766,14082,142,128899.5,5558,6410,72
6/19/2018,29721.75,2110,9317,102,121134.5,6306,11655,146
6/20/2018,37371.01,1975,11925,123,134382,6262,17025,189
6/21/2018,47320.5,2006,11324,124,171036.5,6267,22100,227
6/22/2018,42133.5,1848,11125,128,159607,5656,14945,133
6/23/2018,25268.75,1710,6321,66,113018,5500,9835,71
6/24/2018,32823,1569,10133,116,156294.5,5289,12265,89
6/25/2018,31250.01,1715,12881,146,154868.5,5632,9420,80
6/26/2018,29931.01,1983,11194,121,124863,6076,13930,164
6/27/2018,37089.5,1907,11655,127,143296.5,6471,19560,182
6/28/2018,44361.5,1876,13303,134,167869,6393,18630,203
6/29/2018,38274.51,1868,13105,132,173150.5,6144,15170,139
6/30/2018,27024,1684,8532,86,102113,5155,9045,75
7/1/2018,29675.75,1745,11717,108,145161,5642,10305,83
7/2/2018,27594,1790,12150,129,118217.5,5597,10255,93
7/3/2018,23005,1656,10023,100,100635,5110,6845,78
7/4/2018,15771,1285,10534,96,63507,3616,3505,26
7/5/2018,21278.5,1602,9599,115,94442,4769,4600,41
7/6/2018,24373,1576,10000,116,96090,4933,6310,58
7/7/2018,25997,1520,8447,80,123102.5,4826,6485,47
7/8/2018,26693,1466,10306,111,159655,4943,14055,102
7/9/2018,26226.5,1608,12414,136,144750,5602,9665,84
7/10/2018,28142.01,1886,15041,160,115739,6173,11280,147
7/11/2018,35395,1975,11356,127,135717.5,6216,13595,151
7/12/2018,43579.5,1850,12797,135,161524.5,6314,17930,176
7/13/2018,42422,1767,11666,140,160420.5,5781,15045,133
7/14/2018,25360,1548,8429,93,100317.5,5418,6600,56
7/15/2018,32505,1611,11746,123,152371,5433,16470,106
7/16/2018,29266,1600,13253,160,133272,5424,10120,90
7/17/2018,26151,1875,9777,117,127874,6166,10060,123
7/18/2018,38950,1823,14705,160,135942,5938,16010,180
7/19/2018,45836,1886,10234,129,149835.5,6035,17530,175
7/20/2018,39212.5,1880,7866,94,148777.5,5999,12525,127
7/21/2018,27767,1751,8542,83,110100.5,5525,7880,67
7/22/2018,34321,1533,9905,121,164585,5551,13935,105
7/23/2018,30312,1635,11810,137,132753,5032,9810,92
7/24/2018,33470.5,1914,14849,177,124637,6096,11235,134
7/25/2018,36944,1871,10575,133,126434.5,6141,12385,148
7/26/2018,41643,1925,13816,167,163862,6271,17410,174
7/27/2018,41599,1785,7919,101,149075,5697,14855,139
7/28/2018,26047.5,1764,7588,87,110063,5438,7740,66
7/29/2018,34875.5,1644,9372,116,176120,5669,14860,109
7/30/2018,29396,1681,10380,135,138051,5457,10800,97
7/31/2018,30708,1974,12335,137,128786,6083,9875,113
8/1/2018,39926,2105,10794,138,135187,6277,12410,122
8/2/2018,44056.5,1965,9837,130,141455.5,5939,14725,159
8/3/2018,37088.5,1740,8464,100,151925,5834,13290,121
8/4/2018,33334.5,1926,6882,79,110311.5,5382,8925,57
8/5/2018,34334.5,1614,12669,148,152478.5,5476,13555,104
8/6/2018,32121,1716,11512,144,133648,5136,10420,92
8/7/2018,25716.5,1762,14496,180,116268,5731,11090,126
8/8/2018,38227,1914,13173,169,131282.5,5767,14165,148
8/9/2018,37048.5,1786,13025,177,147788,5908,15270,161
8/10/2018,41833,1785,10455,133,147717,5746,11900,110
8/11/2018,28406.5,1711,6988,89,107657.5,4710,6710,54
8/12/2018,38419,1620,11566,150,159960,5235,16715,116
8/13/2018,31575.5,1623,15142,204,138792.5,5314,8085,67
8/14/2018,33813,1816,14210,170,122880.5,5662,10260,129
8/15/2018,37686.5,1893,13124,174,130736.5,5935,12660,146
8/16/2018,39652.5,1738,13814,161,142562.5,5770,15830,164
8/17/2018,35258,1714,11823,160,143215.5,5466,12395,115
8/18/2018,22882.5,1506,7140,90,89986,4444,10015,71
8/19/2018,33970.5,1459,9234,121,156720.5,5164,13140,102
8/20/2018,28392,1407,10172,145,123855.5,4913,10135,91
8/21/2018,25524.5,1586,10022,135,112075.5,5230,10795,120
8/22/2018,36993,1636,8997,143,129304,5443,12520,152
8/23/2018,38203.5,1525,11175,160,139502,5544,18880,193
8/24/2018,42504.5,1554,10435,149,139699,5215,13910,136
8/25/2018,21807.5,1320,7725,102,86838,3928,7075,53
8/26/2018,33785.5,1320,12657,160,152112.5,4678,15535,114
8/27/2018,23185.5,1262,12262,183,109811.5,4314,10035,94
8/28/2018,22874.5,1324,12830,164,97380,4629,9635,118
8/29/2018,32771.5,1440,12677,159,119359.5,4839,12130,155
8/30/2018,36699,1442,15502,201,145858,5531,21825,224
8/31/2018,33800,1454,9826,136,106301.5,4585,10440,104
9/1/2018,17165,1344,4876,55,60706,3332,5510,46
9/2/2018,25136,1193,5222,65,103052,3512,8150,66
